Code,Name,Purchase Price,Tax,Retail Price,Category Code
89,Mole doña maria Tetrabrick 270 gr.,,0,0,13
90,Mole doña maria Tetrabrick 540 gr.,,0,0,13
7500000000000,Mole doña maria en pasta frasco 235gr,,0,0,13
91,Mole doña maria en pasta frasco 375gr,,0,0,13
92,Mole rojo Doña Chonita 350gr,,0,0,13
7639700760,Adobo Doña chonita 350gr,,0,0,13
7639700785,Salsa chile guajillo doña chonita 350gr,,0,0,13
93,Caldillo tomate verde doña chonita 350gr,,0,0,13
76397007908,Salsa chile pasilla doña chonita 350gr,,0,0,13
94,Mole verde doña chonita 350gr,,0,0,13
95,Pipian doña chonita 350gr,,0,0,13
12072,Pañal Mediano suavelastic max pza,,0,0,16
12071,Pañal grande suavelastic max pza,,0,0,16
12070,Pañal Jumbo suavelactic max pza,,0,0,16
96,Toallitas humedas suavelastic max 50 pzas,,0,0,16
97,Toallitas Humedas suavelastic max 100 pzas,,0,0,16
7500000000000,Alpura deslactosada 1 lt,,0,0,18
7500000000000,Alpura Deslactosada light 1 lt,,0,0,18
7500000000000,Alpura light 1 lt,,0,0,18
7500000000000,Alpura semi 1 lt,,0,0,18
7500000000000,Alpura clasica 1 lt,,0,0,18
7500000000000,nutri leche 1 lt,,0,0,18
99,Nutri leche bolsa 1 lt,,0,0,18
98,Nutri leche deslactosada 1 lt,,0,0,18
7510000000000,Jabon tocador zets Frescura 150gr,,0,0,13
7510000000000,Jabon tocador palmolive neutro balance 150gr,,0,0,13
100,Jabon tocador neutro grisi 150gr,,0,0,13
7510000000000,Jabon tocador palmolive naturals 160gr,,0,0,13
7510000000000,Jabon tocador camay clasico 150gr,,0,0,13
7500000000000,Jabon tocador escudo proteccion y cuidado 160gr,,0,0,13
67238891190,Jabon tocador dove blanco 135gr,,0,0,13
7500000000000,Kleenex de bolsillo,,0,0,16
7790000000000,Rexona Men Sportfan 150ml,,0,50,16
7790000000000,Rexona Bamboo 150ml,,0,52,16
101,Sal La Fina bote refinada fluorada 1 kg,,0,0,13
34587030013,Sal la fina 1 kg,,0,10,13
7500000000000,Carnation clavel original 360g,,0,0,13
7500000000000,Carnation Clavel Nestlé Tetrapack 1 lt,,0,0,13
7500000000000,Nestlé La Lechera original 387 g,,0,19,13
7500000000000,La lecherita nestle 100gr,,0,11,13
7500000000000,Media crema nestle 225gr,,0,12,13
106,Nestlé La Lechera sirve fácil 335 g,,0,0,13
107,Azucar estandar 1 kg,,0,19,13
108,Sustituto de azucar splenda sobre,,0,0.5,13
97339000061,Salsa valentina negra 370ml,,0,11,13
97339000054,Salsa valentina amarilla 370ml,,0,10,13
97339000030,Salsa valentina amarilla 1 lt,,0,20,13
97339000047,Salsa valentina negra 1lt,,0,20,13
113,Salsa Botanera 1 Lt.,,0,0,13
114,Salsa botanera 370ml,,0,0,13
