Code,Name,Purchase Price,Tax,Retail Price,Category Code
,Nutri leche bolsa 1 lt,,0,,18
,Nutri leche deslactosada 1 lt,,0,,18
7.51E+12,Jabon tocador zets Frescura 150gr,,0,,13
7.51E+12,Jabon tocador palmolive neutro balance 150gr,,0,,13
,Jabon tocador neutro grisi 150gr,,0,,13
7.51E+12,Jabon tocador palmolive naturals 160gr,,0,,13
7.51E+12,Jabon tocador camay clasico 150gr,,0,,13
7.50E+12,Jabon tocador escudo proteccion y cuidado 160gr,,0,,13
67238891190,Jabon tocador dove blanco 135gr,,0,,13
7.50E+12,Kleenex de bolsillo,,0,,16
7.79E+12,Rexona Men Sportfan 150ml,,0,,16
,Sal La Fina bote refinada fluorada 1 kg,,0,,13
,Sal la fina 1 kg,,0,,13
7.50E+12,Carnation clavel original 360g,,0,,13
7.50E+12,Carnation Clavel Nestlé Tetrapack 1 lt,,0,,13
,Nestlé La Lechera original 387 g,,0,,13
,La lecherita nestle 100gr,,0,,13
,Media crema nestle 225gr,,0,,13
,Nestlé La Lechera sirve fácil 335 g,,0,,13
,Azucar estandar 1 kg,,0,,13
,Sustituto de azucar splenda sobre,,0,,13
,Salsa valentina negra 370ml,,0,,13
,Salsa valentina amarilla 370ml,,0,,13
,Salsa valentina amarilla 1 lt,,0,,13
,Salsa valentina negra 1lt,,0,,13
,Salsa Botanera 1 Lt.,,0,,13
,Salsa botanera 370ml,,0,,13
,Harina de Maiz 1 Kg. Minsa,,0,,13
,Harina de maiz Maseca 1 kg,,0,,13
,Harina de trigo tres estrellas 1 kg,,0,,13
,Harina de trigo integral 3 estrellas 1 kg,,0,,13
,La Moderna Harina Trigo 1 Kg,,0,,13
,Harina de arros 3 estrellas 250gr,,0,,13
,Harina de arroz 3 estrellas 500gr,,0,,13
,Harina para hotcakes gamesa 850gr,,0,,13
,Harina para hotcakes 3 estrellas 900gr,,0,,13
,Crema para Cafe Coffe Mate 160gr,,0,,13
,Crema para Cafe Coffe Mate sobre,,0,,13
7.51E+12,CHOCO MILK SOBRE 22GR,,0,,13
,CHOCO MILK 160GR SOBRE,,0,,13
,CHOCOMILK 400GR BOTE,,0,,13
,CHOCOMILK 375GR BOLSA,,0,,13
,Chocolate en polvo Nesquik 200 gr,,0,,13
75000011,Malteada Nesquik chocolate,,0,,18
,malteada chocolate carlos V,,0,,18
,Chocolate abuelita barra,,0,,13
,Chocolate ibarra barra,,0,,13
,Chocolate morelia 357gr bolsa,,0,,13
,Chocolate Morelia 155gr bolsa,,0,,13
,Lentejas abeto 500gr,,0,,13
,Maiz palomero bolsa 250gr,,0,,13
,Aceitunas sin hueso la costeña 185gr,,0,,13
,Aceitunas deshuesadas bufalo 240gr,,0,,13
,Crema de coco calahua 480gr,,0,,13
,Pasta adobo Achiote la anita 110gr,,0,,13
,Maple karo 250ml,,0,,13
,Cajeta envinada coronado 370gr,,0,,13
,Cajeta quemada 370gr coronado,,0,,13
,Cajeta vainilla 370gr coronado,,0,,13
,Quaker avena 3 minutos,,0,,13
,veladora farolito papel #2,,0,,13
,Veladora farolito papel #5,,0,,13
,Vela pza,,0,,13
,Vinagre blanco barrilito 750ml,,0,,13
,Vinagre manzana barrilito 750ml,,0,,13
,Vinagre de caña Barrilito 750 ml,,0,,13
,Miel carlota 300gr,,0,,13
,Mermelada de fresa la costeña 270gr,,0,,13
,Salsa roja taquera la costeña 250gr,,0,,13
,Salsa verde la costeña 250gr,,0,,13
,Pure de tomate del monte 210gr,,0,,13
,Salsa taquera del monte 220gr,,0,,13
,Salsa verde del monte 220gr,,0,,13
,Salsa catsup del monte 220gr,,0,,13
,Salsa catsup del monte 320gr,,0,,13
,Salsa de soya Kikkoman 148ml,,0,,13
,Salsa tipo inglesa crosse & blackwell 145ml,,0,,13
,Salsa tipo inglesa crosse & blackwell 50ml,,0,,13
,Jugo sazonador Maggi 100 ml,,0,,13
,Jugo sazonador Maggi 200 ml,,0,,13
,Salsa BBQ 360gr hunts,,0,,13
,Salsa BBQ 620gr hunts,,0,,13
7.50E+12,Rastrillo Gillette hoja normal pza,,0,,16
,Bateria duracell 9v,,0,,13
,Bateria duracell D2,,0,,13
,Bateria duracell C2,,0,,13
41333666426,Bateria duracell AA,,0,,13
41333428482,Bateria duracell AAA,,0,,13
,Bateria eveready AA,,0,,13
,Bateria eveready AAA,,0,,13
75003401,Gerber pera 2 etapa 113gr,,0,,13
7.50E+12,Gerber postre de guayaba 2 etapa 113gr,,0,,13
7.50E+12,Gerber v. con res y arroz 2 etapa 113gr,,0,,13
,Gerber platano 2 etapa 113gr,,0,,13
,Gerber Frutas tropicales 2 etapa 113gr,,0,,13
,Gerber v. con pollo y pasta 2 etapa 113gr,,0,,13
,Gerber durazno 2 etapa 113gr,,0,,13
,Gerber manzana 2 etapa 113gr,,0,,13
75003425,Gerber ciruela pasa 2 etapa 113gr,,0,,13
75003807,Gerber jugo de pera 1 etapa 118ml,,0,,13
,Gerber jugo de manzana 1 etapa 118ml,,0,,13
7.50E+12,Gerber splashers manzana 2 etapa 175ml,,0,,13
7.50E+12,Gerber splashers pera 2 etapa 175ml,,0,,13
7.50E+12,Atun Nair aleta amarilla en aceite 130gr,,0,,13
7.50E+12,Atun Nair aleta amarilla en agua 130gr,,0,,13
7.50E+12,Atun Tuny aleta amarilla en aceite 140gr,,0,,13
,Atún Tuny aleta amarilla en agua 140gr,,0,,13
7.50E+12,Aderezo Clemente Jacques a la italiana 237 ml,,0,,13
7.50E+12,Aderezo Clemente Jacques mil islas 237 ml,,0,,13
7.50E+12,Aderezo Clemente Jacques cesar 237 ml,,0,,13
7.50E+12,Chipotles Clemente Jacques molidos 220 ml,,0,,13
7.50E+12,Veladora limonero espiritu divino,,0,,13
7.50E+12,Veladora Aramo No.4,,0,,13
7.50E+12,Veladora Aramo N°8,,0,,13
7.50E+12,Gel extreme 250gr,,0,,16
7.51E+12,Gel Ego 200ml,,0,,16
7.51E+12,SPRAY ANTICERAMIDAS CAPRICE PZ 316 ml,,0,,16
7.51E+12,Caprice Fijador Aerosol Granada 316ml,,0,,16
7.51E+12,Caprice Fijador Aerosol extracto de algas 316ml,,0,,16
7.50E+12,Jabon zote blanco 200gr,,0,,13
7.50E+12,Jabon zote rosa 200gr,,0,,13
7.50E+12,Jabon zote rosa 400gr,,0,,13
7.50E+12,Jabon zote blanco 400gr,,0,,13
7.50E+12,Jabon blanca nieves liquido 1 lt,,0,,13
7.50E+12,jabon roma liquido 1 lt,,0,,13
7.50E+12,jabon foca liquido 1 lt,,0,,13
7.50E+12,Blanqueador los patitos 1 lt,,0,,13
75000615,Blanqueador cloralex 950ml,,0,,13
7.50E+12,Blanqueador clorox 930ml,,0,,13
7.50E+12,Blanqueador clorox 500ml,,0,,13
75000608,Blanqueador cloralex 500ml,,0,,13
7.50E+12,Limpiador pinol 500ml,,0,,13
7.50E+12,Limpiador Pinol 1 lt,,0,,13
75001162,Fabuloso lavanda 500ml,,0,,13
75001186,Fabuloso mar fresco 500ml,,0,,13
7.50E+12,Fabuloso fresco amanecer 500ml,,0,,13
7.50E+12,Det Ajax Bicloro 388 Gr,,0,,13
7.51E+12,AXION LIQUIDO LIMON 400ML,,0,,13
7.51E+12,Det Liquido Salvo 300 Ml,,0,,13
7.51E+12,Det. liquido salvo limon 900ml,,0,,13
7.51E+12,Det. liquido axion limon 900ml,,0,,13
7.50E+12,Det. liquido mas color 415ml,,0,,13
7.50E+12,"Servilleta Marli ""Interfoliada"" c/250 Pz",,0,,13
7.50E+12,poett 900ml frescura frutal,,0,,13
7.50E+12,Poett 900ml primavera,,0,,13
7.50E+12,Poett 900ml bosque de bambu,,0,,13
7.51E+12,fabuloso energia naranja 1 lt,,0,,13
7.51E+12,fabuloso alternativa al cloro 1 lt,,0,,13
7.50E+12,fabuloso fresco amanecer 1 lt,,0,,13
7.50E+12,fabuloso lavanda 1 lt,,0,,13
7.51E+12,fabuloso menta y orquidea 1 lt,,0,,13
7.51E+12,fabuloso pasion de frutas 1 lt,,0,,13
7.50E+12,fabuloso mar fresco 1 lt,,0,,13
7.50E+12,Vel rosita 1 lt,,0,,13
7.51E+12,Vel rosita 450ml,,0,,13
7.51E+12,suavitel cuidado superior fresca primavera 450ml,,0,,13
7.51E+12,suavitel cuidado superior fresco aroma de sol 450ml,,0,,13
7.51E+12,suavitel cuidado superior fresco aroma de sol 850ml,,0,,13
7.51E+12,suavitel cuidado superior fresca primavera 850ml,,0,,13
7.51E+12,suavitel cuidado superior anochecer 850ml,,0,,13
7.51E+12,Suavitel baby antibacterial 850ml,,0,,13
7.50E+12,VANISH ROSA LIQUIDO 925 ML,,0,,13
75810400015,Agua bonafont natural 1.5 lt,,0,,1
7.58E+11,Agua bonafont natural 1 lt,,0,,1
7.50E+12,Victoria mega 1.2 lt,,0,,11
7.50E+12,Victoria media 355ml,,0,,11
7.50E+12,Agua nestle 600ml,,0,,1
7.50E+12,Agua Sta maria 1.5 lt,,0,,1
75810400293,Bonafont Juizzy jamaica 1.5 lt,,0,,1
7.50E+12,Cañazo 960ml,,0,,10
7.50E+12,jumex LT botella 500ml Manzana,,0,,1
7.50E+12,jumex LT botella 500ml Mango,,0,,1
7.50E+12,jumex LT botella 500ml Fresa,,0,,1
7.50E+12,jumex LT botella 500ml Durazno,,0,,1
7.50E+12,jumex LT botella 500ml Coco-piña,,0,,1
75004101,Cerveza carta blanca 940ml Ret.,,0,,11
7.50E+12,XX Equis 1.2 lt Ret.,,0,,11
7.50E+12,Corona mega 1.2 lt Ret.,,0,,11
7.51E+12,Vive 100 500ml te verde,,0,,1
7.51E+12,Vive 100 500ml manzana,,0,,1
7.50E+12,Jumex tetrapack 1 lt piña,,0,,1
7.50E+12,Jumex tetrapack 1 lt naranja,,0,,1
7.50E+12,Cola cola sin azucar 600ml,,0,,1
7.51E+12,Volt lata 473ml guarana,,0,,1
7.50E+12,Valle frut mango 600ml,,0,,1
75007614,Cola cola 600ml,,0,,1
7.50E+12,Coca cola light 600ml,,0,,1
7.50E+12,Agua nestle 4 lt,,0,,1
75004699,Coca cola Ret. 500ml,,0,,1
70847003656,Monster energy 473ml,,0,,1
7.50E+12,Sprite 600ml,,0,,1
7.50E+12,Fresca 600ml,,0,,1
7.50E+12,Huasteco 440ml,,0,,10
7.50E+12,Corona cero lata 335ml,,0,,11
7.50E+12,Valle frut manzana 600ml,,0,,1
89826001415,Tecate lata 473ml,,0,,11
7.50E+12,Indio lata 473ml,,0,,11
7.50E+12,Corona extra lata 335ml,,0,,11
7.50E+12,Modelo lata 355ml,,0,,11
7.50E+12,Sol sal y limon  lata 355ml,,0,,11
7.50E+12,Sol clamato 473ml,,0,,1
4.03E+12,Winston 24's,,0,,19
7.50E+12,Victoria lata 473ml,,0,,11
7.50E+12,Camel 14's,,0,,19
7.50E+12,Presidente 200ml,,0,,9
7.50E+12,Rancho escondido 750ml,,0,,9
7.50E+12,Rancho escondido 200ml,,0,,9
7.50E+12,Rancho escondido 1.750 ml,,0,,9
7.61E+12,Licor de cafe Kahlua 1 lt,,0,,9
7.50E+12,Antillano oro 1 lt,,0,,9
7.50E+12,Appleton special 750ml,,0,,9
7.50E+12,Bacardi blanco 375ml,,0,,9
7.50E+12,Bacardi blanco 200ml,,0,,9
7.50E+12,Gran centenario reposado 950ml,,0,,9
7.50E+12,Vodka karat 1 lt,,0,,9
7.50E+12,Vodka oso negro 1 lt,,0,,9
5.41E+12,Vodka smirnoff 750ml,,0,,9
50196388,Buchanan's 12 años 750ml,,0,,9
5.00E+12,Red label J. Walker 700ml,,0,,9
82184090473,Jack daniels 750ml,,0,,9
7.50E+12,Bacardi añejo 200ml,,0,,9
80432402870,Passport 700ml,,0,,9
5.01E+13,William lawsons 750ml,,0,,9
7.50E+12,Bacardi blanco 980ml,,0,,9
7.50E+12,Bacardi blanco 750ml,,0,,9
7.50E+12,100 años azul reposado 700ml,,0,,9
7.50E+11,Cabrito rep. con bot/375ml 1 lt,,0,,9
7.50E+12,Centenario azul reposado 950ml,,0,,9
7.50E+12,Centenario azul reposado 750ml,,0,,9
7.50E+12,Teq. Jarana reposado 1 lt,,0,,9
50196265,Black & WHITE 750ml,,0,,9
5.00E+12,Red label J. walker 1 lt,,0,,9
80432401774,Passport 1 lt,,0,,9
7.50E+12,Presidente 940ml,,0,,9
7.50E+12,Presidente 700ml,,0,,9
7.50E+12,Presidente 500ml,,0,,9
