Code,Name,Purchase Price,Tax,Retail Price,Category Code
116,Mole doña maria en pasta frasco 375gr,,0,0,13
117,Mole rojo Doña Chonita 350gr,,0,0,13
118,Adobo Doña chonita 350gr,,0,0,13
119,Salsa chile guajillo doña chonita 350gr,,0,0,13
120,Caldillo tomate verde doña chonita 350gr,,0,0,13
121,Salsa chile pasilla doña chonita 350gr,,0,0,13
122,Mole verde doña chonita 350gr,,0,0,13
123,Pipian doña chonita 350gr,,0,0,13
124,Pañal Mediano suavelastic max pza,,0,0,16
125,Pañal grande suavelastic max pza,,0,0,16
126,Pañal Jumbo suavelactic max pza,,0,0,16
127,Toallitas humedas suavelastic max 50 pzas,,0,0,16
128,Toallitas Humedas suavelastic max 100 pzas,,0,0,16
129,Alpura deslactosada 1 lt,,0,0,18
130,Alpura Deslactosada light 1 lt,,0,0,18
131,Alpura light 1 lt,,0,0,18
132,Alpura semi 1 lt,,0,0,18
133,Alpura clasica 1 lt,,0,0,18
134,nutri leche 1 lt,,0,0,18
135,Nutri leche bolsa 1 lt,,0,0,18
136,Nutri leche deslactosada 1 lt,,0,0,18
137,Jabon tocador zets Frescura 150gr,,0,0,13
138,Jabon tocador palmolive neutro balance 150gr,,0,0,13
139,Jabon tocador neutro grisi 150gr,,0,0,13
140,Jabon tocador palmolive naturals 160gr,,0,0,13
141,Jabon tocador camay clasico 150gr,,0,0,13
142,Jabon tocador escudo proteccion y cuidado 160gr,,0,0,13
143,Jabon tocador dove blanco 135gr,,0,0,13
144,Kleenex de bolsillo,,0,0,16
145,Rexona Men Sportfan 150ml,,0,50,16
146,Rexona Bamboo 150ml,,0,52,16
147,Sal La Fina bote refinada fluorada 1 kg,,0,0,13
148,Sal la fina 1 kg,,0,10,13
149,Carnation clavel original 360g,,0,0,13
150,Carnation Clavel Nestlé Tetrapack 1 lt,,0,0,13
151,Nestlé La Lechera original 387 g,,0,19,13
152,La lecherita nestle 100gr,,0,11,13
153,Media crema nestle 225gr,,0,12,13
154,Nestlé La Lechera sirve fácil 335 g,,0,0,13
155,Azucar estandar 1 kg,,0,19,13
156,Sustituto de azucar splenda sobre,,0,0.5,13
157,Salsa valentina negra 370ml,,0,11,13
158,Salsa valentina amarilla 370ml,,0,10,13
159,Salsa valentina amarilla 1 lt,,0,20,13
160,Salsa valentina negra 1lt,,0,20,13
161,Salsa Botanera 1 Lt.,,0,0,13
162,Salsa botanera 370ml,,0,0,13
163,Harina de Maiz 1 Kg. Minsa,,0,13,13
164,Harina de maiz Maseca 1 kg,,0,14,13
165,Harina de trigo tres estrellas 1 kg,,0,15,13
166,Harina de trigo integral 3 estrellas 1 kg,,0,0,13
167,La Moderna Harina Trigo 1 Kg,,0,15,13
168,Harina de arros 3 estrellas 250gr,,0,0,13
169,Harina de arroz 3 estrellas 500gr,,0,0,13
170,Harina para hotcakes gamesa 850gr,,0,0,13
171,Harina para hotcakes 3 estrellas 900gr,,0,0,13
172,Crema para Cafe Coffe Mate 160gr,,0,0,13
173,Crema para Cafe Coffe Mate sobre,,0,7,13
174,CHOCO MILK SOBRE 22GR,,0,4,13
175,CHOCO MILK 160GR SOBRE,,0,18,13
176,CHOCOMILK 400GR BOTE,,0,0,13
177,CHOCOMILK 375GR BOLSA,,0,0,13
178,Chocolate en polvo Nesquik 200 gr,,0,0,13
179,Malteada Nesquik chocolate,,0,9,18
180,malteada chocolate carlos V,,0,9,18
181,Chocolate abuelita barra,,0,10,13
182,Chocolate ibarra barra,,0,10,13
183,Chocolate morelia 357gr bolsa,,0,0,13
184,Chocolate Morelia 155gr bolsa,,0,0,13
185,Lentejas abeto 500gr,,0,10,13
186,Maiz palomero Abeto bolsa 250gr,,0,6,13
187,Aceitunas sin hueso la costeña 185gr,,0,0,13
188,Aceitunas deshuesadas bufalo 240gr,,0,27,13
189,Crema de coco calahua 480gr,,0,25,13
190,Pasta adobo Achiote la anita 110gr,,0,9,13
191,Maple karo 250ml,,0,24,13
192,Cajeta envinada coronado 370gr,,0,40,13
193,Cajeta quemada 370gr coronado,,0,40,13
194,Cajeta vainilla 370gr coronado,,0,40,13
195,Quaker avena 3 minutos,,0,20,13
196,veladora farolito papel #2,,0,7.5,13
197,Veladora farolito papel #5,,0,15,13
198,Vela pza,,0,0,13
199,Vinagre blanco barrilito 750ml,,0,0,13
200,Vinagre manzana barrilito 750ml,,0,10,13
201,Vinagre de caña Barrilito 750 ml,,0,0,13
202,Miel carlota 300gr,,0,43,13
203,Mermelada de fresa la costeña 270gr,,0,0,13
204,Salsa roja taquera la costeña 250gr,,0,15,13
205,Salsa verde la costeña 250gr,,0,15,13
206,Pure de tomate del monte 210gr,,0,6,13
207,Salsa taquera del monte 220gr,,0,13,13
208,Salsa verde del monte 220gr,,0,13,13
209,Salsa catsup del monte 220gr,,0,9,13
210,Salsa catsup del monte 320gr,,0,12,13
211,Salsa de soya Kikkoman 148ml,,0,30,13
212,Salsa tipo inglesa crosse & blackwell 145ml,,0,30,13
213,Salsa tipo inglesa crosse & blackwell 50ml,,0,0,13
214,Jugo sazonador Maggi 100 ml,,0,29,13
215,Jugo sazonador Maggi 200 ml,,0,0,13
216,Salsa BBQ 360gr hunts,,0,23,13
217,Salsa BBQ 620gr hunts,,0,32,13
218,Rastrillo Gillette hoja normal pza,,0,15,16
219,Bateria duracell 9v,,0,79,13
220,Bateria duracell D2,,0,80,13
221,Bateria duracell C2,,0,80,13
222,Bateria duracell AA,,0,0,13
223,Bateria duracell AAA,,0,0,13
224,Bateria eveready AA,,0,0,13
225,Bateria eveready AAA,,0,0,13
226,Gerber pera 2 etapa 113gr,,0,11,13
227,Gerber postre de guayaba 2 etapa 113gr,,0,11,13
228,Gerber v. con res y arroz 2 etapa 113gr,,0,11,13
229,Gerber platano 2 etapa 113gr,,0,11,13
230,Gerber Frutas tropicales 2 etapa 113gr,,0,11,13
231,Gerber v. con pollo y pasta 2 etapa 113gr,,0,11,13
232,Gerber durazno 2 etapa 113gr,,0,11,13
233,Gerber manzana 2 etapa 113gr,,0,11,13
234,Gerber ciruela pasa 2 etapa 113gr,,0,11,13
235,Gerber jugo de pera 1 etapa 118ml,,0,10,13
236,Gerber jugo de manzana 1 etapa 118ml,,0,0,13
237,Gerber splashers manzana 2 etapa 175ml,,0,0,13
238,Gerber splashers pera 2 etapa 175ml,,0,12,13
239,Atun Nair aleta amarilla en aceite 130gr,,0,14,13
240,Atun Nair aleta amarilla en agua 130gr,,0,14,13
241,Atun Tuny aleta amarilla en aceite 140gr,,0,15,13
242,Atún Tuny aleta amarilla en agua 140gr,,0,15,13
243,Aderezo Clemente Jacques a la italiana 237 ml,,0,22,13
244,Aderezo Clemente Jacques mil islas 237 ml,,0,22,13
245,Aderezo Clemente Jacques cesar 237 ml,,0,22,13
246,Chipotles Clemente Jacques molidos 220 ml,,0,22,13
247,Veladora limonero espiritu divino,,0,17,13
